epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3595,1.02198,3.35373,1.17305,0.00473,0.78968,0.48624,0.39034,0.62575,3.57599,0.90261,0.00018577,0.00018577,0.00018577
2,134.408,0.73711,1.95408,1.0012,0.00445,0.72451,0.55486,0.46074,0.65847,3.53733,0.94909,0.000378191,0.000378191,0.000378191
3,189.436,0.7119,1.40236,0.97701,0.97926,0.17033,0.37702,0.28992,0.77001,3.57021,1.05131,0.000562689,0.000562689,0.000562689
4,245.36,0.66847,1.19384,0.97686,1,0.10575,0.57852,0.48085,0.66903,3.29165,0.9299,0.000739265,0.000739265,0.000739265
5,298.97,0.64304,1.16094,0.97228,0.98572,0.12628,0.76024,0.53769,0.83367,3.27395,1.04864,0.000907918,0.000907918,0.000907918
6,80.4233,0.67722,1.27861,0.96639,0.92152,0.26076,0.53304,0.33283,1.31565,3.57058,2.96349,0.00106865,0.00106865,0.00106865
7,149.25,0.67891,1.11438,0.96012,0.91222,0.8285,0.91221,0.66944,0.80375,2.06314,1.03267,0.00122146,0.00122146,0.00122146
8,218.994,0.68665,1.02609,0.94966,0.97406,0.90738,0.9616,0.78369,0.64176,1.48808,0.93512,0.00123094,0.00123094,0.00123094
9,288.06,0.64823,0.96699,0.94592,0.92692,0.90589,0.95168,0.76057,0.60592,1.5474,0.90883,0.00120265,0.00120265,0.00120265
10,356.304,0.61363,0.93135,0.94249,0.94134,0.91221,0.95335,0.80468,0.56198,1.4914,0.88461,0.00117435,0.00117435,0.00117435
11,424.282,0.58999,0.88852,0.93766,0.94414,0.92352,0.96075,0.82889,0.49065,1.18093,0.85562,0.00114606,0.00114606,0.00114606
12,493.976,0.58463,0.85751,0.90872,0.519,0.46893,0.56973,0.4442,0.66667,2.51386,1.28888,0.00111776,0.00111776,0.00111776
13,562.066,0.56831,0.82407,0.9137,0.92141,0.92813,0.94983,0.81568,0.51604,1.14465,0.86008,0.00108947,0.00108947,0.00108947
14,630.213,0.56369,0.78924,0.90994,0.95821,0.95148,0.9623,0.8108,0.49913,0.97983,0.86352,0.00106118,0.00106118,0.00106118
